Z;N;AME20;Prediction;Difference
46.0;49.0;-69.90019;984110400.0;-984110469.90019
46.0;52.0;-81.58277;984110400.0;-984110481.58277
46.0;55.0;-85.77373;984110400.0;-984110485.77373
46.0;58.0;-90.17962;984110400.0;-984110490.17962
46.0;61.0;-89.58779;984110400.0;-984110489.58779
46.0;64.0;-89.07461;984110400.0;-984110489.07461
46.0;67.0;-84.25034;984110400.0;-984110484.25034
46.0;70.0;-80.40066;984110400.0;-984110480.40066
46.0;73.0;-72.77671;984110400.0;-984110472.77671
46.0;76.0;-65.67254;984110400.0;-984110465.67254
47.0;51.0;-72.53292;984110400.0;-984110472.53292
47.0;54.0;-81.45329;984110400.0;-984110481.45329
47.0;57.0;-85.28849;984110400.0;-984110485.28849
47.0;60.0;-89.18714;984110400.0;-984110489.18714
47.0;63.0;-88.55157;984110400.0;-984110488.55157
47.0;66.0;-88.07863;984110400.0;-984110488.07863
47.0;69.0;-83.73398;984110400.0;-984110483.73398
47.0;72.0;-79.69869;984110400.0;-984110479.69869
47.0;75.0;-71.95314;984110400.0;-984110471.95314
47.0;78.0;-65.51788;984110400.0;-984110465.51788
48.0;52.0;-74.15143;984110400.0;-984110474.15143
48.0;55.0;-80.86592;984110400.0;-984110480.86592
48.0;58.0;-87.60257;984110400.0;-984110487.60257
48.0;61.0;-89.22666;984110400.0;-984110489.22666
48.0;64.0;-91.4674;984110400.0;-984110491.4674
48.0;67.0;-88.78741;984110400.0;-984110488.78741
48.0;70.0;-87.10254;984110400.0;-984110487.10254
48.0;73.0;-82.07701;984110400.0;-984110482.07701
48.0;76.0;-77.36754;984110400.0;-984110477.36754
48.0;79.0;-69.69278;984110400.0;-984110469.69278
49.0;55.0;-75.89531;984110400.0;-984110475.89531
49.0;58.0;-83.71322;984110400.0;-984110483.71322
49.0;61.0;-86.86109;984110400.0;-984110486.86109
49.0;64.0;-89.8547;984110400.0;-984110489.8547
49.0;67.0;-88.69389;984110400.0;-984110488.69389
49.0;70.0;-88.41259;984110400.0;-984110488.41259
49.0;73.0;-84.96058;984110400.0;-984110484.96058
49.0;76.0;-81.81806;984110400.0;-984110481.81806
49.0;79.0;-75.46467;984110400.0;-984110475.46467
49.0;82.0;-69.28343;984110400.0;-984110469.28343
50.0;54.0;-71.39224;984110400.0;-984110471.39224
50.0;57.0;-78.433;984110400.0;-984110478.433
50.0;60.0;-85.681;984110400.0;-984110485.681
50.0;63.0;-88.45838;984110400.0;-984110488.45838
50.0;66.0;-91.75661;984110400.0;-984110491.75661
50.0;69.0;-90.62995;984110400.0;-984110490.62995
50.0;72.0;-90.72604;984110400.0;-984110490.72604
50.0;75.0;-86.94365;984110400.0;-984110486.94365
50.0;78.0;-84.50538;984110400.0;-984110484.50538
50.0;81.0;-78.79638;984110400.0;-984110478.79638
50.0;84.0;-67.56333;984110400.0;-984110467.56333
51.0;54.0;-63.28931;984110400.0;-984110463.28931
51.0;57.0;-72.10429;984110400.0;-984110472.10429
51.0;60.0;-80.85938;984110400.0;-984110480.85938
51.0;63.0;-84.83985;984110400.0;-984110484.83985
51.0;66.0;-89.27104;984110400.0;-984110489.27104
51.0;69.0;-89.44219;984110400.0;-984110489.44219
51.0;72.0;-90.58301;984110400.0;-984110490.58301
51.0;75.0;-87.40841;984110400.0;-984110487.40841
51.0;78.0;-85.90416;984110400.0;-984110485.90416
51.0;81.0;-80.67196;984110400.0;-984110480.67196
51.0;84.0;-71.44209;984110400.0;-984110471.44209
52.0;56.0;-65.8843;984110400.0;-984110465.8843
52.0;59.0;-73.95966;984110400.0;-984110473.95966
52.0;62.0;-82.25429;984110400.0;-984110482.25429
52.0;65.0;-85.88342;984110400.0;-984110485.88342
52.0;68.0;-90.168;984110400.0;-984110490.168
52.0;71.0;-90.2344;984110400.0;-984110490.2344
52.0;74.0;-90.96408;984110400.0;-984110490.96408
52.0;77.0;-88.15364;984110400.0;-984110488.15364
52.0;80.0;-86.26595;984110400.0;-984110486.26595
52.0;83.0;-78.87477;984110400.0;-984110478.87477
52.0;86.0;-66.60641;984110400.0;-984110466.60641
53.0;58.0;-65.69087;984110400.0;-984110465.69087
53.0;62.0;-77.45884;984110400.0;-984110477.45884
53.0;65.0;-82.66641;984110400.0;-984110482.66641
53.0;68.0;-87.83248;984110400.0;-984110487.83248
53.0;71.0;-88.33508;984110400.0;-984110488.33508
53.0;74.0;-89.92642;984110400.0;-984110489.92642
53.0;77.0;-88.088;984110400.0;-984110488.088
53.0;80.0;-86.64566;984110400.0;-984110486.64566
53.0;83.0;-80.27814;984110400.0;-984110480.27814
53.0;86.0;-69.3536;984110400.0;-984110469.3536
54.0;58.0;-60.7333;984110400.0;-984110460.7333
54.0;61.0;-69.88384;984110400.0;-984110469.88384
54.0;64.0;-79.23329;984110400.0;-984110479.23329
54.0;67.0;-84.06268;984110400.0;-984110484.06268
54.0;70.0;-88.70058;984110400.0;-984110488.70058
54.0;73.0;-89.38772;984110400.0;-984110489.38772
54.0;76.0;-90.71399;984110400.0;-984110490.71399
54.0;79.0;-88.54657;984110400.0;-984110488.54657
54.0;82.0;-87.45873;984110400.0;-984110487.45873
54.0;85.0;-76.13921;984110400.0;-984110476.13921
54.0;88.0;-66.31669;984110400.0;-984110466.31669
54.0;91.0;-52.61321;984110400.0;-984110452.61321
55.0;58.0;-52.70576;984110400.0;-984110452.70576
55.0;63.0;-69.81818;984110400.0;-984110469.81818
55.0;66.0;-79.00032;984110400.0;-984110479.00032
55.0;69.0;-83.37636;984110400.0;-984110483.37636
55.0;72.0;-87.67209;984110400.0;-984110487.67209
55.0;75.0;-88.13456;984110400.0;-984110488.13456
55.0;78.0;-89.35714;984110400.0;-984110489.35714
55.0;81.0;-87.33295;984110400.0;-984110487.33295
55.0;84.0;-81.55639;984110400.0;-984110481.55639
55.0;87.0;-71.22075;984110400.0;-984110471.22075
55.0;90.0;-61.71065;984110400.0;-984110461.71065
55.0;93.0;-49.29848;984110400.0;-984110449.29848
56.0;63.0;-65.46082;984110400.0;-984110465.46082
56.0;66.0;-75.767;984110400.0;-984110475.767
56.0;69.0;-81.18833;984110400.0;-984110481.18833
56.0;72.0;-86.46346;984110400.0;-984110486.46346
56.0;75.0;-87.85167;984110400.0;-984110487.85167
56.0;78.0;-89.85616;984110400.0;-984110489.85616
56.0;81.0;-88.51269;984110400.0;-984110488.51269
56.0;84.0;-83.92319;984110400.0;-984110483.92319
56.0;87.0;-74.45444;984110400.0;-984110474.45444
56.0;90.0;-65.98673;984110400.0;-984110465.98673
57.0;67.0;-71.96081;984110400.0;-984110471.96081
57.0;70.0;-79.51719;984110400.0;-984110479.51719
57.0;73.0;-83.0496;984110400.0;-984110483.0496
57.0;76.0;-87.06432;984110400.0;-984110487.06432
57.0;79.0;-87.26105;984110400.0;-984110487.26105
57.0;82.0;-88.33399;984110400.0;-984110488.33399
57.0;85.0;-80.47215;984110400.0;-984110480.47215
57.0;88.0;-73.82469;984110400.0;-984110473.82469
57.0;91.0;-63.9897;984110400.0;-984110463.9897
58.0;69.0;-73.2463;984110400.0;-984110473.2463
58.0;72.0;-80.48604;984110400.0;-984110480.48604
58.0;75.0;-83.45786;984110400.0;-984110483.45786
58.0;78.0;-87.41415;984110400.0;-984110487.41415
58.0;81.0;-87.49523;984110400.0;-984110487.49523
58.0;84.0;-84.95186;984110400.0;-984110484.95186
58.0;87.0;-77.52707;984110400.0;-984110477.52707
58.0;90.0;-71.30459;984110400.0;-984110471.30459
58.0;93.0;-62.19492;984110400.0;-984110462.19492
59.0;71.0;-72.9041;984110400.0;-984110472.9041
59.0;74.0;-79.58068;984110400.0;-984110479.58068
59.0;77.0;-82.85939;984110400.0;-984110482.85939
59.0;80.0;-85.95625;984110400.0;-984110485.95625
59.0;83.0;-84.68883;984110400.0;-984110484.68883
59.0;86.0;-80.54358;984110400.0;-984110480.54358
59.0;89.0;-73.46502;984110400.0;-984110473.46502
59.0;92.0;-67.55521;984110400.0;-984110467.55521
59.0;95.0;-58.40965;984110400.0;-984110458.40965
60.0;71.0;-68.96602;984110400.0;-984110468.96602
60.0;74.0;-76.59278;984110400.0;-984110476.59278
60.0;77.0;-80.71737;984110400.0;-984110480.71737
60.0;80.0;-84.77782;984110400.0;-984110484.77782
60.0;83.0;-84.228;984110400.0;-984110484.228
60.0;86.0;-81.08125;984110400.0;-984110481.08125
