Z;N;AME20;Prediction;Difference
-2.073585518065048;-1.9206629506940136;-7.13;30.270582;-37.40058219909668
-2.073585518065048;-1.9030054707599549;-16.89;27.129467;-44.01946701049805
-2.073585518065048;-1.8853479908258963;-21.44;25.480024;-46.92002433776855
-2.073585518065048;-1.8676905108918376;-24.83;23.30812;-48.13812072753906
-2.073585518065048;-1.8500330309577788;-23.67;22.967632;-46.637632293701174
-2.073585518065048;-1.83237555102372;-25.85;20.909372;-46.759372329711915
-2.073585518065048;-1.8147180710896613;-23.71;22.020052;-45.73005195617676
-2.073585518065048;-1.7970605911556026;-24.68;19.439632;-44.119632415771484
-2.073585518065048;-1.7794031112215438;-20.12;22.16424;-42.284239883422856
-2.073585518065048;-1.7617456312874853;-19.91;17.824448;-37.734447631835934
-2.073585518065048;-1.7440881513534265;-15.24789;-88.89484;73.64694642578125
-2.073585518065048;-1.7440881513534265;-14.46;23.557611;-38.0176114654541
-2.073585518065048;-1.7264306714193678;-13.74;17.71267;-31.452669372558596
-2.073585518065048;-1.708773191485309;-7.75;28.54338;-36.29338073730469
-2.073585518065048;-1.6911157115512503;-6.2;21.185116;-27.385115814208984
-2.073585518065048;-1.6911157115512503;-6.99216;-87.686066;80.69390567382813
-2.073585518065048;-1.6734582316171915;-0.02;35.86276;-35.88275863647461
-2.073585518065048;-1.6558007516831328;3.79;26.76637;-22.97637077331543
-2.073585518065048;-1.638143271749074;10.41;43.225048;-32.81504806518555
-2.073585518065048;-1.6204857918150155;14.88;32.689743;-17.809743041992185
-2.073585518065048;-1.6028283118809568;22.84;50.206444;-27.366443786621094
-2.073585518065048;-1.585170831946898;28.47;42.624588;-14.154588012695314
-2.073585518065048;-1.5675133520128393;37.02;59.120167;-22.10016677856445
-2.073585518065048;-1.5498558720787805;43.7;54.39205;-10.692051696777341
-2.073585518065048;-1.5321983921447218;53.88;69.45786;-15.577862854003904
-2.073585518065048;-1.514540912210663;60.51;65.87836;-5.368356933593752
-2.073585518065048;-1.4968834322766045;70.93;79.72544;-8.7954409790039
-2.03581070294363;-2.0089503503643074;53.14;38.720257;14.419743194580079
-2.03581070294363;-1.9912928704302486;42.22;33.0859;9.134100646972655
-2.03581070294363;-1.9736353904961899;27.59;17.166576;10.423423614501953
-2.03581070294363;-1.955977910562131;20.42;16.447485;3.9725150299072283
-2.03581070294363;-1.9383204306280724;4.6;-1.6878345;6.287834501266479
-2.03581070294363;-1.9206629506940136;-2.26;5.0953383;-7.355338344573974
-2.03581070294363;-1.9030054707599549;-13.27;-15.222756;1.952756385803223
-2.03581070294363;-1.8853479908258963;-19.63;-2.5081346;-17.121865396499633
-2.03581070294363;-1.8676905108918376;-26.9;-22.390985;-4.509014511108397
-2.03581070294363;-1.8500330309577788;-25.68;-7.1553206;-18.524679355621338
-2.03581070294363;-1.83237555102372;-29.38;-26.934246;-2.445753936767577
-2.03581070294363;-1.8147180710896613;-27.97;-9.836347;-18.13365337371826
-2.03581070294363;-1.7970605911556026;-30.62;-28.015701;-2.6042987060546885
-2.03581070294363;-1.7794031112215438;-26.7;-11.422183;-15.2778169631958
